Date,Source,StartTime,EndTime,DeltaTime,start_time,end_time,source_class,source_class_specific
23-Jul,Vessel noise,7:40,8:19,0:39,2018.07.23T07:40:00.000,2018.07.23T08:19:00.000,Anthropogenic,Vessel noise
23-Jul,Vessel noise,8:51,9:28,0:37,2018.07.23T08:51:00.000,2018.07.23T09:28:00.000,Anthropogenic,Vessel noise
23-Jul,Vessel noise,9:49,10:29,0:40,2018.07.23T09:49:00.000,2018.07.23T10:29:00.000,Anthropogenic,Vessel noise
23-Jul,Vessel noise,10:58,11:35,0:37,2018.07.23T10:58:00.000,2018.07.23T11:35:00.000,Anthropogenic,Vessel noise
23-Jul,Vessel noise,11:55,12:39,0:44,2018.07.23T11:55:00.000,2018.07.23T12:39:00.000,Anthropogenic,Vessel noise
23-Jul,Vessel noise,13:10,13:54,0:44,2018.07.23T13:10:00.000,2018.07.23T13:54:00.000,Anthropogenic,Vessel noise
23-Jul,Vessel noise,14:13,14:57,0:44,2018.07.23T14:13:00.000,2018.07.23T14:57:00.000,Anthropogenic,Vessel noise
23-Jul,Vessel noise,15:30,16:13,0:43,2018.07.23T15:30:00.000,2018.07.23T16:13:00.000,Anthropogenic,Vessel noise
23-Jul,Vessel noise,16:34,17:18,0:44,2018.07.23T16:34:00.000,2018.07.23T17:18:00.000,Anthropogenic,Vessel noise
23-Jul,Vessel noise,17:52,18:36,0:44,2018.07.23T17:52:00.000,2018.07.23T18:36:00.000,Anthropogenic,Vessel noise
23-Jul,Vessel noise,18:56,19:44,0:48,2018.07.23T18:56:00.000,2018.07.23T19:44:00.000,Anthropogenic,Vessel noise
23-Jul,Vessel noise,20:18,21:00,0:42,2018.07.23T20:18:00.000,2018.07.23T21:00:00.000,Anthropogenic,Vessel noise
23-Jul,Vessel noise,21:21,22:04,0:43,2018.07.23T21:21:00.000,2018.07.23T22:04:00.000,Anthropogenic,Vessel noise
23-Jul,Vessel noise,22:39,23:25,0:46,2018.07.23T22:39:00.000,2018.07.23T23:25:00.000,Anthropogenic,Vessel noise
23-Jul,Vessel noise,23:45,23:59,0:14,2018.07.23T23:45:00.000,2018.07.23T23:59:00.000,Anthropogenic,Vessel noise
24-Jul,Vessel noise,0:00,0:29,0:29,2018.07.24T00:00:00.000,2018.07.24T00:29:00.000,Anthropogenic,Vessel noise
24-Jul,Vessel noise,1:09,1:53,0:44,2018.07.24T01:09:00.000,2018.07.24T01:53:00.000,Anthropogenic,Vessel noise
24-Jul,Vessel noise,2:12,2:57,0:45,2018.07.24T02:12:00.000,2018.07.24T02:57:00.000,Anthropogenic,Vessel noise
24-Jul,Vessel noise,3:41,4:25,0:44,2018.07.24T03:41:00.000,2018.07.24T04:25:00.000,Anthropogenic,Vessel noise
24-Jul,Vessel noise,4:48,5:33,0:45,2018.07.24T04:48:00.000,2018.07.24T05:33:00.000,Anthropogenic,Vessel noise
24-Jul,Vessel noise,6:23,7:07,0:44,2018.07.24T06:23:00.000,2018.07.24T07:07:00.000,Anthropogenic,Vessel noise
24-Jul,Vessel noise,7:28,8:11,0:43,2018.07.24T07:28:00.000,2018.07.24T08:11:00.000,Anthropogenic,Vessel noise
24-Jul,Vessel noise,9:01,9:46,0:45,2018.07.24T09:01:00.000,2018.07.24T09:46:00.000,Anthropogenic,Vessel noise
24-Jul,Vessel noise,10:06,10:51,0:45,2018.07.24T10:06:00.000,2018.07.24T10:51:00.000,Anthropogenic,Vessel noise
24-Jul,Vessel noise,11:47,12:32,0:45,2018.07.24T11:47:00.000,2018.07.24T12:32:00.000,Anthropogenic,Vessel noise
24-Jul,Vessel noise,12:55,13:41,0:46,2018.07.24T12:55:00.000,2018.07.24T13:41:00.000,Anthropogenic,Vessel noise
24-Jul,Vessel noise,14:38,15:07,0:29,2018.07.24T14:38:00.000,2018.07.24T15:07:00.000,Anthropogenic,Vessel noise
24-Jul,Vessel noise,15:46,16:26,0:40,2018.07.24T15:46:00.000,2018.07.24T16:26:00.000,Anthropogenic,Vessel noise
24-Jul,Vessel noise,17:21,17:52,0:31,2018.07.24T17:21:00.000,2018.07.24T17:52:00.000,Anthropogenic,Vessel noise
24-Jul,Vessel noise,18:30,19:14,0:44,2018.07.24T18:30:00.000,2018.07.24T19:14:00.000,Anthropogenic,Vessel noise
24-Jul,Vessel noise,20:14,20:56,0:42,2018.07.24T20:14:00.000,2018.07.24T20:56:00.000,Anthropogenic,Vessel noise
24-Jul,Vessel noise,21:18,22:03,0:45,2018.07.24T21:18:00.000,2018.07.24T22:03:00.000,Anthropogenic,Vessel noise
24-Jul,Vessel noise,23:06,23:48,0:42,2018.07.24T23:06:00.000,2018.07.24T23:48:00.000,Anthropogenic,Vessel noise
25-Jul,Vessel noise,0:12,0:56,0:44,2018.07.25T00:12:00.000,2018.07.25T00:56:00.000,Anthropogenic,Vessel noise
25-Jul,Vessel noise,1:57,2:40,0:43,2018.07.25T01:57:00.000,2018.07.25T02:40:00.000,Anthropogenic,Vessel noise
25-Jul,Vessel noise,3:02,3:47,0:45,2018.07.25T03:02:00.000,2018.07.25T03:47:00.000,Anthropogenic,Vessel noise
25-Jul,Vessel noise,4:50,5:32,0:42,2018.07.25T04:50:00.000,2018.07.25T05:32:00.000,Anthropogenic,Vessel noise
25-Jul,Vessel noise,5:55,6:39,0:44,2018.07.25T05:55:00.000,2018.07.25T06:39:00.000,Anthropogenic,Vessel noise
25-Jul,Vessel noise,7:34,8:16,0:42,2018.07.25T07:34:00.000,2018.07.25T08:16:00.000,Anthropogenic,Vessel noise
25-Jul,Vessel noise,8:36,9:21,0:45,2018.07.25T08:36:00.000,2018.07.25T09:21:00.000,Anthropogenic,Vessel noise
25-Jul,Vessel noise,10:21,11:05,0:44,2018.07.25T10:21:00.000,2018.07.25T11:05:00.000,Anthropogenic,Vessel noise
25-Jul,Vessel noise,11:29,12:14,0:45,2018.07.25T11:29:00.000,2018.07.25T12:14:00.000,Anthropogenic,Vessel noise
25-Jul,Vessel noise,13:05,13:46,0:41,2018.07.25T13:05:00.000,2018.07.25T13:46:00.000,Anthropogenic,Vessel noise
25-Jul,Vessel noise,14:11,14:54,0:43,2018.07.25T14:11:00.000,2018.07.25T14:54:00.000,Anthropogenic,Vessel noise
25-Jul,Vessel noise,15:43,16:23,0:40,2018.07.25T15:43:00.000,2018.07.25T16:23:00.000,Anthropogenic,Vessel noise
25-Jul,Vessel noise,16:48,17:35,0:47,2018.07.25T16:48:00.000,2018.07.25T17:35:00.000,Anthropogenic,Vessel noise
25-Jul,Vessel noise,21:01,21:40,0:39,2018.07.25T21:01:00.000,2018.07.25T21:40:00.000,Anthropogenic,Vessel noise
26-Jul,Vessel noise,0:53,1:23,0:30,2018.07.26T00:53:00.000,2018.07.26T01:23:00.000,Anthropogenic,Vessel noise
26-Jul,Vessel noise,2:10,2:50,0:40,2018.07.26T02:10:00.000,2018.07.26T02:50:00.000,Anthropogenic,Vessel noise
26-Jul,Vessel noise,3:14,3:59,0:45,2018.07.26T03:14:00.000,2018.07.26T03:59:00.000,Anthropogenic,Vessel noise
26-Jul,Vessel noise,4:47,5:29,0:42,2018.07.26T04:47:00.000,2018.07.26T05:29:00.000,Anthropogenic,Vessel noise
26-Jul,Vessel noise,5:50,6:33,0:43,2018.07.26T05:50:00.000,2018.07.26T06:33:00.000,Anthropogenic,Vessel noise
26-Jul,Vessel noise,7:22,8:05,0:43,2018.07.26T07:22:00.000,2018.07.26T08:05:00.000,Anthropogenic,Vessel noise
26-Jul,Vessel noise,8:26,9:11,0:45,2018.07.26T08:26:00.000,2018.07.26T09:11:00.000,Anthropogenic,Vessel noise
26-Jul,Vessel noise,9:56,10:39,0:43,2018.07.26T09:56:00.000,2018.07.26T10:39:00.000,Anthropogenic,Vessel noise
26-Jul,Vessel noise,11:01,11:47,0:46,2018.07.26T11:01:00.000,2018.07.26T11:47:00.000,Anthropogenic,Vessel noise
26-Jul,Vessel noise,12:33,13:12,0:39,2018.07.26T12:33:00.000,2018.07.26T13:12:00.000,Anthropogenic,Vessel noise
26-Jul,Vessel noise,13:41,14:24,0:43,2018.07.26T13:41:00.000,2018.07.26T14:24:00.000,Anthropogenic,Vessel noise
26-Jul,Vessel noise,15:12,15:53,0:41,2018.07.26T15:12:00.000,2018.07.26T15:53:00.000,Anthropogenic,Vessel noise
26-Jul,Vessel noise,16:17,17:02,0:45,2018.07.26T16:17:00.000,2018.07.26T17:02:00.000,Anthropogenic,Vessel noise
26-Jul,Vessel noise,17:49,18:31,0:42,2018.07.26T17:49:00.000,2018.07.26T18:31:00.000,Anthropogenic,Vessel noise
26-Jul,Vessel noise,18:52,19:37,0:45,2018.07.26T18:52:00.000,2018.07.26T19:37:00.000,Anthropogenic,Vessel noise
26-Jul,Vessel noise,20:25,21:06,0:41,2018.07.26T20:25:00.000,2018.07.26T21:06:00.000,Anthropogenic,Vessel noise
26-Jul,Vessel noise,21:30,22:16,0:46,2018.07.26T21:30:00.000,2018.07.26T22:16:00.000,Anthropogenic,Vessel noise
26-Jul,Vessel noise,23:09,23:51,0:42,2018.07.26T23:09:00.000,2018.07.26T23:51:00.000,Anthropogenic,Vessel noise
27-Jul,Vessel noise,0:13,1:00,0:47,2018.07.27T00:13:00.000,2018.07.27T01:00:00.000,Anthropogenic,Vessel noise
27-Jul,Vessel noise,1:59,2:41,0:42,2018.07.27T01:59:00.000,2018.07.27T02:41:00.000,Anthropogenic,Vessel noise
27-Jul,Vessel noise,3:04,3:48,0:44,2018.07.27T03:04:00.000,2018.07.27T03:48:00.000,Anthropogenic,Vessel noise
27-Jul,Vessel noise,5:05,5:23,0:18,2018.07.27T05:05:00.000,2018.07.27T05:23:00.000,Anthropogenic,Vessel noise
27-Jul,Vessel noise,5:47,6:33,0:46,2018.07.27T05:47:00.000,2018.07.27T06:33:00.000,Anthropogenic,Vessel noise
27-Jul,Vessel noise,7:27,8:12,0:45,2018.07.27T07:27:00.000,2018.07.27T08:12:00.000,Anthropogenic,Vessel noise
27-Jul,Vessel noise,8:32,9:18,0:46,2018.07.27T08:32:00.000,2018.07.27T09:18:00.000,Anthropogenic,Vessel noise
27-Jul,Vessel noise,10:15,10:58,0:43,2018.07.27T10:15:00.000,2018.07.27T10:58:00.000,Anthropogenic,Vessel noise
27-Jul,Vessel noise,11:21,12:07,0:46,2018.07.27T11:21:00.000,2018.07.27T12:07:00.000,Anthropogenic,Vessel noise
27-Jul,Vessel noise,13:03,13:45,0:42,2018.07.27T13:03:00.000,2018.07.27T13:45:00.000,Anthropogenic,Vessel noise
27-Jul,Vessel noise,14:07,14:55,0:48,2018.07.27T14:07:00.000,2018.07.27T14:55:00.000,Anthropogenic,Vessel noise
27-Jul,Vessel noise,15:59,16:39,0:40,2018.07.27T15:59:00.000,2018.07.27T16:39:00.000,Anthropogenic,Vessel noise
27-Jul,Vessel noise,17:05,17:51,0:46,2018.07.27T17:05:00.000,2018.07.27T17:51:00.000,Anthropogenic,Vessel noise
27-Jul,Vessel noise,18:47,19:24,0:37,2018.07.27T18:47:00.000,2018.07.27T19:24:00.000,Anthropogenic,Vessel noise
27-Jul,Vessel noise,19:55,20:38,0:43,2018.07.27T19:55:00.000,2018.07.27T20:38:00.000,Anthropogenic,Vessel noise
27-Jul,Vessel noise,22:43,23:20,0:37,2018.07.27T22:43:00.000,2018.07.27T23:20:00.000,Anthropogenic,Vessel noise
28-Jul,Vessel noise,0:15,0:57,0:42,2018.07.28T00:15:00.000,2018.07.28T00:57:00.000,Anthropogenic,Vessel noise
28-Jul,Vessel noise,1:28,2:13,0:45,2018.07.28T01:28:00.000,2018.07.28T02:13:00.000,Anthropogenic,Vessel noise
28-Jul,Vessel noise,3:07,3:50,0:43,2018.07.28T03:07:00.000,2018.07.28T03:50:00.000,Anthropogenic,Vessel noise
28-Jul,Vessel noise,4:11,4:57,0:46,2018.07.28T04:11:00.000,2018.07.28T04:57:00.000,Anthropogenic,Vessel noise
28-Jul,Vessel noise,5:53,6:36,0:43,2018.07.28T05:53:00.000,2018.07.28T06:36:00.000,Anthropogenic,Vessel noise
28-Jul,Vessel noise,6:57,7:43,0:46,2018.07.28T06:57:00.000,2018.07.28T07:43:00.000,Anthropogenic,Vessel noise
28-Jul,Vessel noise,8:22,9:05,0:43,2018.07.28T08:22:00.000,2018.07.28T09:05:00.000,Anthropogenic,Vessel noise
28-Jul,Vessel noise,9:26,10:11,0:45,2018.07.28T09:26:00.000,2018.07.28T10:11:00.000,Anthropogenic,Vessel noise
28-Jul,Vessel noise,11:52,12:37,0:45,2018.07.28T11:52:00.000,2018.07.28T12:37:00.000,Anthropogenic,Vessel noise
